Pick Out,Family,Name (Stat Block),Name (As in Rule Book),AC:,Special,HD:,HD Sort #:,# Atk: ,Damage: ,Mvmt: ,# App: ,Save As: ,Morale: ,Treasure:,XP: ,Source,Quick Stats (Parenthesis),Quick Stats (Colon:),Parenthesis Text only,Colon Text only,Check vs. Rulebook
9,LIZARD,Basilisk,Basilisk,16,,6**,6,1 bite/1 gaze,1d10/petrification,20' (10'),1d6 Wild/Lair 1d6,F6,9,F,610,Rulebook,"Basilisk (AC 16, HD 6**, #At 1 bite/1 gaze, Dam 1d10/petrification, Mv 20' (10'), Sv F6, Ml 9)","Basilisk: AC 16, HD 6**, #At 1 bite/1 gaze, Dam 1d10/petrification, Mv 20' (10'), Sv F6, Ml 9","Basilisk (AC 16, HD 6**, #At 1 bite/1 gaze, Dam 1d10/petrification, Mv 20' (10'), Sv F6, Ml 9)","Basilisk: AC 16, HD 6**, #At 1 bite/1 gaze, Dam 1d10/petrification, Mv 20' (10'), Sv F6, Ml 9","Basilisk: AC 16, HD 6**, #At 1 bite/1 gaze, Dam 1d10/petrification, Mv 20' (10'), Sv F6, Ml 9, XP 610, #Ap 1d6 Wild/Lair 1d6"
9,BAT,Bat,Bat,14,,1 Hit Point,0,1 bite,Confusion,30' Fly 40',1d100 Wild/Lair 1d100,NM,6,None ,10 ,Rulebook,"Bat (AC 14, HD 1 Hit Point, #At 1 bite, Dam Confusion, Mv 30' Fly 40', Sv NM, Ml 6)","Bat: AC 14, HD 1 Hit Point, #At 1 bite, Dam Confusion, Mv 30' Fly 40', Sv NM, Ml 6","Bat (AC 14, HD 1 Hit Point, #At 1 bite, Dam Confusion, Mv 30' Fly 40', Sv NM, Ml 6)","Bat: AC 14, HD 1 Hit Point, #At 1 bite, Dam Confusion, Mv 30' Fly 40', Sv NM, Ml 6","Bat: AC 14, HD 1 Hit Point, #At 1 bite, Dam Confusion, Mv 30' Fly 40', Sv NM, Ml 6, XP 10 , #Ap 1d100 Wild/Lair 1d100"
9,BAT,Giant Bat,"Bat, Giant",14,,2,2,1 bite,1d4,10' Fly 60' (10'),1d10 Wild/Lair 1d10,F2,8,,75,Rulebook,"Giant Bat (AC 14, HD 2, #At 1 bite, Dam 1d4, Mv 10' Fly 60' (10'), Sv F2, Ml 8)","Giant Bat: AC 14, HD 2, #At 1 bite, Dam 1d4, Mv 10' Fly 60' (10'), Sv F2, Ml 8","Giant Bat (AC 14, HD 2, #At 1 bite, Dam 1d4, Mv 10' Fly 60' (10'), Sv F2, Ml 8)","Giant Bat: AC 14, HD 2, #At 1 bite, Dam 1d4, Mv 10' Fly 60' (10'), Sv F2, Ml 8","Bat, Giant: AC 14, HD 2, #At 1 bite, Dam 1d4, Mv 10' Fly 60' (10'), Sv F2, Ml 8, XP 75, #Ap 1d10 Wild/Lair 1d10"
9,BEAR,Black Bear,"Bear, Black",14,,4,4,2 claws/1 bite + hug,1d4/1d4/1d6 + 2d6 hug,40',1d4 Wild/Lair 1d4,F4,7,,240,Rulebook,"Black Bear (AC 14, HD 4, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d6 + 2d6 hug, Mv 40', Sv F4, Ml 7)","Black Bear: AC 14, HD 4, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d6 + 2d6 hug, Mv 40', Sv F4, Ml 7","Black Bear (AC 14, HD 4, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d6 + 2d6 hug, Mv 40', Sv F4, Ml 7)","Black Bear: AC 14, HD 4, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d6 + 2d6 hug, Mv 40', Sv F4, Ml 7","Bear, Black: AC 14, HD 4, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d6 + 2d6 hug, Mv 40', Sv F4, Ml 7, XP 240, #Ap 1d4 Wild/Lair 1d4"
9,BEAR,Cave Bear,"Bear, Cave",15,,7,7,2 claws/1 bite + hug,1d8/1d8/2d6 + 2d8 hug,40',1d2 Wild/Lair 1d2,F7,9,,670,Rulebook,"Cave Bear (AC 15, HD 7, #At 2 claws/1 bite + hug, Dam 1d8/1d8/2d6 + 2d8 hug, Mv 40', Sv F7, Ml 9)","Cave Bear: AC 15, HD 7, #At 2 claws/1 bite + hug, Dam 1d8/1d8/2d6 + 2d8 hug, Mv 40', Sv F7, Ml 9","Cave Bear (AC 15, HD 7, #At 2 claws/1 bite + hug, Dam 1d8/1d8/2d6 + 2d8 hug, Mv 40', Sv F7, Ml 9)","Cave Bear: AC 15, HD 7, #At 2 claws/1 bite + hug, Dam 1d8/1d8/2d6 + 2d8 hug, Mv 40', Sv F7, Ml 9","Bear, Cave: AC 15, HD 7, #At 2 claws/1 bite + hug, Dam 1d8/1d8/2d6 + 2d8 hug, Mv 40', Sv F7, Ml 9, XP 670, #Ap 1d2 Wild/Lair 1d2"
9,BEAR,Grizzly Bear,"Bear, Grizzly (or Brown) ",14,,5,5,2 claws/1 bite + hug,1d4/1d4/1d8 + 2d8 hug,40',1 Wild/Lair 1d4,F5,8,,360,Rulebook,"Grizzly Bear (AC 14, HD 5, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d8 + 2d8 hug, Mv 40', Sv F5, Ml 8)","Grizzly Bear: AC 14, HD 5, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d8 + 2d8 hug, Mv 40', Sv F5, Ml 8","Grizzly Bear (AC 14, HD 5, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d8 + 2d8 hug, Mv 40', Sv F5, Ml 8)","Grizzly Bear: AC 14, HD 5, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d8 + 2d8 hug, Mv 40', Sv F5, Ml 8","Bear, Grizzly (or Brown) : AC 14, HD 5, #At 2 claws/1 bite + hug, Dam 1d4/1d4/1d8 + 2d8 hug, Mv 40', Sv F5, Ml 8, XP 360, #Ap 1 Wild/Lair 1d4"
9,BEAR,Polar Bear,"Bear, Polar",14,,6,6,2 claws/1 bite + hug,1d6/1d6/1d10 + 2d8 hug,40',1 Wild/Lair 1d2,F6,8,,500,Rulebook,"Polar Bear (AC 14, HD 6, #At 2 claws/1 bite + hug, Dam 1d6/1d6/1d10 + 2d8 hug, Mv 40', Sv F6, Ml 8)","Polar Bear: AC 14, HD 6, #At 2 claws/1 bite + hug, Dam 1d6/1d6/1d10 + 2d8 hug, Mv 40', Sv F6, Ml 8","Polar Bear (AC 14, HD 6, #At 2 claws/1 bite + hug, Dam 1d6/1d6/1d10 + 2d8 hug, Mv 40', Sv F6, Ml 8)","Polar Bear: AC 14, HD 6, #At 2 claws/1 bite + hug, Dam 1d6/1d6/1d10 + 2d8 hug, Mv 40', Sv F6, Ml 8","Bear, Polar: AC 14, HD 6, #At 2 claws/1 bite + hug, Dam 1d6/1d6/1d10 + 2d8 hug, Mv 40', Sv F6, Ml 8, XP 500, #Ap 1 Wild/Lair 1d2"
9,INSECT,Giant Bee,"Bee, Giant",13,,1d4 HP*,0,1 sting,1d4 + poison,10' Fly 50',1d6 Wild 1d6 Lair 5d6,F1,9,Special,13,Rulebook,"Giant Bee (AC 13, HD 1d4 HP*, #At 1 sting, Dam 1d4 + poison, Mv 10' Fly 50', Sv F1, Ml 9)","Giant Bee: AC 13, HD 1d4 HP*, #At 1 sting, Dam 1d4 + poison, Mv 10' Fly 50', Sv F1, Ml 9","Giant Bee (AC 13, HD 1d4 HP*, #At 1 sting, Dam 1d4 + poison, Mv 10' Fly 50', Sv F1, Ml 9)","Giant Bee: AC 13, HD 1d4 HP*, #At 1 sting, Dam 1d4 + poison, Mv 10' Fly 50', Sv F1, Ml 9","Bee, Giant: AC 13, HD 1d4 HP*, #At 1 sting, Dam 1d4 + poison, Mv 10' Fly 50', Sv F1, Ml 9, XP 13, #Ap 1d6 Wild 1d6 Lair 5d6"
9,INSECT,Giant Bombardier Beetle,"Beetle, Giant Bombardier",16,A hot & toxic blast to the rear causes 2d6 points of damage to all within a cone 10' long and 10' wide at the far end (half damage with save vs. Death Ray).,2*,2,1 bite + special,1d6 + special,40',1d8 Wild/Lair 2d6,F2,8,,100,Rulebook,"Giant Bombardier Beetle (AC 16, HD 2*, #At 1 bite + special, Dam 1d6 + special, Mv 40', Sv F2, Ml 8)","Giant Bombardier Beetle: AC 16, HD 2*, #At 1 bite + special, Dam 1d6 + special, Mv 40', Sv F2, Ml 8","Giant Bombardier Beetle (AC 16, HD 2*, #At 1 bite + special, Dam 1d6 + special, Mv 40', Sv F2, Ml 8)","Giant Bombardier Beetle: AC 16, HD 2*, #At 1 bite + special, Dam 1d6 + special, Mv 40', Sv F2, Ml 8","Beetle, Giant Bombardier: AC 16, HD 2*, #At 1 bite + special, Dam 1d6 + special, Mv 40', Sv F2, Ml 8, XP 100, #Ap 1d8 Wild/Lair 2d6"
9,INSECT,Giant Fire Beetle,"Beetle, Giant Fire",16,,1+2,1,1 bite,2d4,40',1d8 Wild/Lair 2d6,F1,7,,25,Rulebook,"Giant Fire Beetle (AC 16, HD 1+2, #At 1 bite, Dam 2d4, Mv 40', Sv F1, Ml 7)","Giant Fire Beetle: AC 16, HD 1+2, #At 1 bite, Dam 2d4, Mv 40', Sv F1, Ml 7","Giant Fire Beetle (AC 16, HD 1+2, #At 1 bite, Dam 2d4, Mv 40', Sv F1, Ml 7)","Giant Fire Beetle: AC 16, HD 1+2, #At 1 bite, Dam 2d4, Mv 40', Sv F1, Ml 7","Beetle, Giant Fire: AC 16, HD 1+2, #At 1 bite, Dam 2d4, Mv 40', Sv F1, Ml 7, XP 25, #Ap 1d8 Wild/Lair 2d6"
9,INSECT,Giant Tiger Beetle,"Beetle, Giant Tiger",17,,3+1,3,1 bite,2d6,60' (10'),1d6 Wild/Lair 2d4,F3,9,U,145,Rulebook,"Giant Tiger Beetle (AC 17, HD 3+1, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F3, Ml 9)","Giant Tiger Beetle: AC 17, HD 3+1, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F3, Ml 9","Giant Tiger Beetle (AC 17, HD 3+1, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F3, Ml 9)","Giant Tiger Beetle: AC 17, HD 3+1, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F3, Ml 9","Beetle, Giant Tiger: AC 17, HD 3+1, #At 1 bite, Dam 2d6, Mv 60' (10'), Sv F3, Ml 9, XP 145, #Ap 1d6 Wild/Lair 2d4"
9,ANIMAL,Bison,Bison,13,,4,4,1 butt,1d8,80' (10'),Wild 3d10,F4,5 (7),,240,Antelope in Rulebook,"Bison (AC 13, HD 4, #At 1 butt, Dam 1d8, Mv 80' (10'), Sv F4, Ml 5 (7))","Bison: AC 13, HD 4, #At 1 butt, Dam 1d8, Mv 80' (10'), Sv F4, Ml 5 (7)","Bison (AC 13, HD 4, #At 1 butt, Dam 1d8, Mv 80' (10'), Sv F4, Ml 5 (7))","Bison: AC 13, HD 4, #At 1 butt, Dam 1d8, Mv 80' (10'), Sv F4, Ml 5 (7)","Bison: AC 13, HD 4, #At 1 butt, Dam 1d8, Mv 80' (10'), Sv F4, Ml 5 (7), XP 240, #Ap Wild 3d10"
9,SIMPLE LIFE,Black Pudding*,Black Pudding*,14,,10* (+9),10,1 pseudopod,3d8,20',1,F10,12,,"1,390",Rulebook,"Black Pudding* (AC 14, HD 10* (+9), #At 1 pseudopod, Dam 3d8, Mv 20', Sv F10, Ml 12)","Black Pudding*: AC 14, HD 10* (+9), #At 1 pseudopod, Dam 3d8, Mv 20', Sv F10, Ml 12","Black Pudding* (AC 14, HD 10* (+9), #At 1 pseudopod, Dam 3d8, Mv 20', Sv F10, Ml 12)","Black Pudding*: AC 14, HD 10* (+9), #At 1 pseudopod, Dam 3d8, Mv 20', Sv F10, Ml 12","Black Pudding*: AC 14, HD 10* (+9), #At 1 pseudopod, Dam 3d8, Mv 20', Sv F10, Ml 12, XP 1,390, #Ap 1"
9,CANINE,Blink Dog,Blink Dog,15,,4*,4,1 bite,1d6,40',1d6 Wild/Lair 1d6,F4,6,C,280,Rulebook,"Blink Dog (AC 15, HD 4*, #At 1 bite, Dam 1d6, Mv 40', Sv F4, Ml 6)","Blink Dog: AC 15, HD 4*, #At 1 bite, Dam 1d6, Mv 40', Sv F4, Ml 6","Blink Dog (AC 15, HD 4*, #At 1 bite, Dam 1d6, Mv 40', Sv F4, Ml 6)","Blink Dog: AC 15, HD 4*, #At 1 bite, Dam 1d6, Mv 40', Sv F4, Ml 6","Blink Dog: AC 15, HD 4*, #At 1 bite, Dam 1d6, Mv 40', Sv F4, Ml 6, XP 280, #Ap 1d6 Wild/Lair 1d6"
9,PLANT,Blood Rose,Blood Rose,13,,2* to 4*,02* to 4*,1 to 3 plus blood drain,1d6,1',Wild 1d8,F2,12,,100 - 280,Rulebook,"Blood Rose (AC 13, HD 2* to 4*, #At 1 to 3 plus blood drain, Dam 1d6, Mv 1', Sv F2, Ml 12)","Blood Rose: AC 13, HD 2* to 4*, #At 1 to 3 plus blood drain, Dam 1d6, Mv 1', Sv F2, Ml 12","Blood Rose (AC 13, HD 2* to 4*, #At 1 to 3 plus blood drain, Dam 1d6, Mv 1', Sv F2, Ml 12)","Blood Rose: AC 13, HD 2* to 4*, #At 1 to 3 plus blood drain, Dam 1d6, Mv 1', Sv F2, Ml 12","Blood Rose: AC 13, HD 2* to 4*, #At 1 to 3 plus blood drain, Dam 1d6, Mv 1', Sv F2, Ml 12, XP 100 - 280, #Ap Wild 1d8"
9,ANIMAL,Boar,Boar,13,,3,3,1 tusk,2d4,50' (10'),Wild 1d6,F3,9,,145,Rulebook,"Boar (AC 13, HD 3, #At 1 tusk, Dam 2d4, Mv 50' (10'), Sv F3, Ml 9)","Boar: AC 13, HD 3, #At 1 tusk, Dam 2d4, Mv 50' (10'), Sv F3, Ml 9","Boar (AC 13, HD 3, #At 1 tusk, Dam 2d4, Mv 50' (10'), Sv F3, Ml 9)","Boar: AC 13, HD 3, #At 1 tusk, Dam 2d4, Mv 50' (10'), Sv F3, Ml 9","Boar: AC 13, HD 3, #At 1 tusk, Dam 2d4, Mv 50' (10'), Sv F3, Ml 9, XP 145, #Ap Wild 1d6"
9,HUMANOID,Bugbear,Bugbear,15 (13),Surprise on 1-3 on 1d6 wearing leather or less,3+1,3,1 weapon,1d8+1 or by weapon +1,30' Unarmored 40',2d4 Wild/Lair 5d4,F3,9,"Q, R each; B, L, M in lair",145,Rulebook,"Bugbear (AC 15 (13), HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30' Unarmored 40', Sv F3, Ml 9)","Bugbear: AC 15 (13), HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30' Unarmored 40', Sv F3, Ml 9","Bugbear (AC 15 (13), HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30' Unarmored 40', Sv F3, Ml 9)","Bugbear: AC 15 (13), HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30' Unarmored 40', Sv F3, Ml 9","Bugbear: AC 15 (13), HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30' Unarmored 40', Sv F3, Ml 9, XP 145, #Ap 2d4 Wild/Lair 5d4"
9,HUMANOID,Bugbear armored,Bugbear,15,Surprise on 1-3 on 1d6 wearing leather or less,3+1,3,1 weapon,1d8+1 or by weapon +1,30',2d4 Wild/Lair 5d4,F3,9,"Q, R each; B, L, M in lair",145,Rulebook,"Bugbear armored (AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9)","Bugbear armored: AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9","Bugbear armored (AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9)","Bugbear armored: AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9","Bugbear: AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9, XP 145, #Ap 2d4 Wild/Lair 5d4"
9,HUMANOID,Bugbear Shaman armored,Bugbear,15,1d4+1 levels as Cleric; and surprise on 1-3 on 1d6 wearing leather or less,3+1,3,1 weapon,1d8+1 or by weapon +1,30',2 in 6 chance of 1 per lair,F3,9,"Q, R each; B, L, M in lair",175,Rulebook,"Bugbear Shaman armored (AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9)","Bugbear Shaman armored: AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9","Bugbear Shaman armored (AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9)","Bugbear Shaman armored: AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9","Bugbear: AC 15, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 30', Sv F3, Ml 9, XP 175, #Ap 2 in 6 chance of 1 per lair"
9,HUMANOID,Bugbear Shaman unarmored,Bugbear,13,1d4+1 levels as Cleric; and surprise on 1-3 on 1d6 wearing leather or less,3+1,3,1 weapon,1d8+1 or by weapon +1,40',2 in 6 chance of 1 per lair,F3,9,"Q, R each; B, L, M in lair",175,Rulebook,"Bugbear Shaman unarmored (AC 13, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 40', Sv F3, Ml 9)","Bugbear Shaman unarmored: AC 13, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 40', Sv F3, Ml 9","Bugbear Shaman unarmored (AC 13, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 40', Sv F3, Ml 9)","Bugbear Shaman unarmored: AC 13, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 40', Sv F3, Ml 9","Bugbear: AC 13, HD 3+1, #At 1 weapon, Dam 1d8+1 or by weapon +1, Mv 40', Sv F3, Ml 9, XP 175, #Ap 2 in 6 chance of 1 per lair"
